"municipio","barrio"
"Adjuntas","Barrio Pueblo"
"Adjuntas","Capáez"
"Adjuntas","Garzas"
"Adjuntas","Guayabo Dulce"
"Adjuntas","Guayo"
"Adjuntas","Guilarte"
"Adjuntas","Juan González"
"Adjuntas","Limaní"
"Adjuntas","Pellejas"
"Adjuntas","Portillo"
"Adjuntas","Portugués"
"Adjuntas","Saltillo"
"Adjuntas","Tanamá"
"Adjuntas","Vegas Abajo"
"Adjuntas","Vegas Arriba"
"Adjuntas","Yahuecas"
"Adjuntas","Yayales"
"Aguada","Asomante"
"Aguada","Atalaya"
"Aguada","Barrio Pueblo"
"Aguada","Carrizal"
"Aguada","Cerro Gordo"
"Aguada","Cruces"
"Aguada","Espinar"
"Aguada","Guanábano"
"Aguada","Guaniquilla"
"Aguada","Guayabo"
"Aguada","Jagüey"
"Aguada","Lagunas"
"Aguada","Mal Paso"
"Aguada","Mamey"
"Aguada","Marías"
"Aguada","Naranjo"
"Aguada","Piedras Blancas"
"Aguada","Río Grande"
"Aguadilla","Aguacate"
"Aguadilla","Arenales"
"Aguadilla","Barrio Pueblo"
"Aguadilla","Borinquen"
"Aguadilla","Caimital Alto"
"Aguadilla","Caimital Bajo"
"Aguadilla","Camaceyes"
"Aguadilla","Ceiba Alta"
"Aguadilla","Ceiba Baja"
"Aguadilla","Corrales"
"Aguadilla","Guerrero"
"Aguadilla","Maleza Alta"
"Aguadilla","Maleza Baja"
"Aguadilla","Montaña"
"Aguadilla","Palmar"
"Aguadilla","Victoria"
"Aguas Buenas","Bairoa"
"Aguas Buenas","Barrio Pueblo"
"Aguas Buenas","Bayamoncito"
"Aguas Buenas","Cagüitas"
"Aguas Buenas","Jagüeyes"
"Aguas Buenas","Juan Asencio"
"Aguas Buenas","Mula"
"Aguas Buenas","Mulita"
"Aguas Buenas","Sonadora"
"Aguas Buenas","Sumidero"
"Aibonito","Algarrobo"
"Aibonito","Asomante"
"Aibonito","Barrio Pueblo"
"Aibonito","Caonillas"
"Aibonito","Cuyón"
"Aibonito","Llanos"
"Aibonito","Pasto"
"Aibonito","Plata"
"Aibonito","Robles"
"Añasco","Añasco Abajo"
"Añasco","Añasco Arriba"
"Añasco","Barrio Pueblo"
"Añasco","Caguabo"
"Añasco","Caracol"
"Añasco","Carreras"
"Añasco","Casey Abajo"
"Añasco","Casey Arriba"
"Añasco","Cerro Gordo"
"Añasco","Cidra"
"Añasco","Corcovada"
"Añasco","Dagüey"
"Añasco","Espino"
"Añasco","Hatillo"
"Añasco","Humatas"
"Añasco","Marías"
"Añasco","Miraflores"
"Añasco","Ovejas"
"Añasco","Piñales"
"Añasco","Playa"
"Añasco","Quebrada Larga"
"Añasco","Río Arriba"
"Añasco","Río Cañas"
"Arecibo","Arenalejos"
"Arecibo","Arrozal"
"Arecibo","Barrio Pueblo"
"Arecibo","Cambalache"
"Arecibo","Carreras"
"Arecibo","Domingo Ruíz"
"Arecibo","Dominguito"
"Arecibo","Esperanza"
"Arecibo","Factor"
"Arecibo","Garrochales"
"Arecibo","Hato Abajo"
"Arecibo","Hato Arriba"
"Arecibo","Hato Viejo"
"Arecibo","Islote"
"Arecibo","Miraflores"
"Arecibo","Río Arriba"
"Arecibo","Sabana Hoyos"
"Arecibo","Santana"
"Arecibo","Tanamá"
"Arroyo","Ancones"
"Arroyo","Barrio Pueblo"
"Arroyo","Guásimas"
"Arroyo","Palmas"
"Arroyo","Pitahaya"
"Arroyo","Yaurel"
"Barceloneta","Barrio Pueblo"
"Barceloneta","Florida Afuera"
"Barceloneta","Garrochales"
"Barceloneta","Palmas Altas"
"Barranquitas","Barrancas"
"Barranquitas","Barrio Pueblo"
"Barranquitas","Cañabón"
"Barranquitas","Helechal"
"Barranquitas","Honduras"
"Barranquitas","Palo Hincado"
"Barranquitas","Quebrada Grande"
"Barranquitas","Quebradillas"
"Bayamón","Barrio Pueblo"
"Bayamón","Buena Vista"
"Bayamón","Cerro Gordo"
"Bayamón","Dajaos"
"Bayamón","Guaraguao Abajo"
"Bayamón","Guaraguao Arriba"
"Bayamón","Hato Tejas"
"Bayamón","Juan Sánchez"
"Bayamón","Minillas"
"Bayamón","Nuevo"
"Bayamón","Pájaros"
"Bayamón","Santa Olaya"
"Cabo Rojo","Bajura"
"Cabo Rojo","Barrio Pueblo"
"Cabo Rojo","Boquerón"
"Cabo Rojo","Guanajibo"
"Cabo Rojo","Llanos Costa"
"Cabo Rojo","Llanos Tuna"
"Cabo Rojo","Miradero"
"Cabo Rojo","Monte Grande"
"Cabo Rojo","Pedernales"
"Caguas","Bairoa"
"Caguas","Barrio Pueblo"
"Caguas","Beatriz"
"Caguas","Borinquen"
"Caguas","Cañabón"
"Caguas","Cañaboncito"
"Caguas","Río Cañas"
"Caguas","San Antonio"
"Caguas","San Salvador"
"Caguas","Tomás de Castro"
"Caguas","Turabo"
"Camuy","Abra Honda"
"Camuy","Barrio Pueblo"
"Camuy","Camuy Arriba"
"Camuy","Cibao"
"Camuy","Ciénagas"
"Camuy","Membrillo"
"Camuy","Piedra Gorda"
"Camuy","Puente"
"Camuy","Puertos"
"Camuy","Quebrada"
"Camuy","Santiago"
"Camuy","Yeguada"
"Camuy","Zanja"
"Canóvanas","Barrio Pueblo"
"Canóvanas","Canóvanas"
"Canóvanas","Cubuy"
"Canóvanas","Hato Puerco"
"Canóvanas","Lomas"
"Canóvanas","Torrecilla Alta"
"Carolina","Barrazas"
"Carolina","Barrio Pueblo"
"Carolina","Buena Vista"
"Carolina","Cacao"
"Carolina","Cangrejo Arriba"
"Carolina","Canovanillas"
"Carolina","Carruzos"
"Carolina","Cedro"
"Carolina","Martín González"
"Carolina","Sabana Abajo"
"Carolina","San Antón"
"Carolina","Santa Cruz"
"Carolina","Trujillo Bajo"
"Cataño","Barrio Pueblo"
"Cataño","Palmas"
"Cayey","Barrio Pueblo"
"Cayey","Beatriz"
"Cayey","Cedro"
"Cayey","Cercadillo"
"Cayey","Culebras Alto"
"Cayey","Culebras Bajo"
"Cayey","Farallón"
"Cayey","Guavate"
"Cayey","Jájome Alto"
"Cayey","Jájome Bajo"
"Cayey","Lapa"
"Cayey","Matón Abajo"
"Cayey","Matón Arriba"
"Cayey","Monte Llano"
"Cayey","Pasto Viejo"
"Cayey","Pedro Avila"
"Cayey","Piedras"
"Cayey","Quebrada Arriba"
"Cayey","Rincón"
"Cayey","Sumido"
"Cayey","Toíta"
"Cayey","Vegas"
"Ceiba","Barrio Pueblo"
"Ceiba","Chupacallos"
"Ceiba","Daguao"
"Ceiba","Guayacán"
"Ceiba","Machos"
"Ceiba","Quebrada Seca"
"Ceiba","Río Abajo"
"Ceiba","Saco"
"Ciales","Barrio Pueblo"
"Ciales","Cialitos"
"Ciales","Cordillera"
"Ciales","Frontón"
"Ciales","Hato Viejo"
"Ciales","Jaguas"
"Ciales","Pesas"
"Ciales","Pozas"
