,,COVID-19,Hospitalized,,Patients per,Region,,
Date,Arecibo,Bayamon,Caguas,Fajardo,Mayaguez,Metro,Ponce,Total
5/31/20,21,8,6,0,22,32,10,99
6/1/20,22,8,8,1,27,25,8,99
6/2/20,21,5,16,1,27,24,12,106
6/3/20,16,12,13,0,21,35,10,107
6/4/20,21,7,11,1,24,38,12,114
6/5/20,19,11,17,1,34,23,11,116
6/6/20,19,9,10,3,29,17,13,100
6/7/20,17,10,8,5,30,21,14,105
6/8/20,20,10,18,4,32,18,5,107
6/9/20,17,11,14,0,26,15,12,95
6/10/20,19,12,14,1,28,17,6,97
6/11/20,19,9,7,1,31,18,6,91
6/12/20,17,7,13,0,26,24,5,92
6/13/20,15,9,10,1,46,32,4,117
6/14/20,15,8,12,1,33,38,3,110
6/15/20,16,6,12,0,31,37,2,104
6/16/20,11,5,12,0,28,28,10,94
6/17/20,12,8,14,0,7,29,8,78
6/18/20,11,9,14,0,8,25,6,73
6/19/20,16,9,7,1,21,19,5,78
6/20/20,12,11,9,1,24,19,7,83
6/21/20,11,13,5,1,18,18,5,71
6/22/20,8,10,5,2,21,17,7,70
6/23/20,12,15,9,0,16,19,6,77
6/24/20,9,11,12,0,18,25,5,80
6/25/20,15,7,10,0,25,27,1,85
6/26/20,15,8,5,0,26,30,5,89
6/27/20,11,10,12,2,28,35,7,105
6/28/20,11,18,12,2,26,27,3,99
6/29/20,12,14,8,2,31,34,3,104
6/30/20,12,19,12,2,26,29,2,102
7/1/20,13,21,10,4,38,32,3,121
7/2/20,16,10,6,1,19,37,8,97
7/3/20,15,15,9,1,25,31,8,104
7/4/20,13,14,6,1,26,31,9,100
7/5/20,14,16,6,1,29,45,7,118
7/6/20,21,16,7,0,26,36,9,115
7/7/20,25,14,19,1,25,32,6,122
7/8/20,22,16,13,3,25,39,9,127
7/9/20,20,11,21,3,28,54,10,147
