Date,Molecular Total,Molecular New,Molecular Positive New,Molecular Missing,Serology Total,Serology New,Serology Positive New,First Molecular Test per person,Repeat Molecular Tests
1/22/2020,1,1,0,,0,0,0,1,0
1/23/2020,2,1,0,,0,0,0,1,0
1/24/2020,2,0,0,,1,1,0,0,0
1/25/2020,2,0,0,,1,0,0,0,0
1/26/2020,2,0,0,,1,0,0,0,0
1/27/2020,3,1,0,,1,0,0,1,0
1/28/2020,3,0,0,,1,0,0,0,0
1/29/2020,4,1,1,,1,0,0,1,0
1/30/2020,4,0,0,,1,0,0,0,0
1/31/2020,4,0,0,,1,0,0,0,0
2/1/2020,4,0,0,,1,0,0,0,0
2/2/2020,4,0,0,,1,0,0,0,0
2/3/2020,7,3,0,,1,0,0,3,0
2/4/2020,9,2,0,,1,0,0,2,0
2/5/2020,9,0,0,,1,0,0,0,0
2/6/2020,10,1,1,,1,0,0,1,0
2/7/2020,10,0,0,,1,0,0,0,0
2/8/2020,11,1,0,,1,0,0,1,0
2/9/2020,11,0,0,,1,0,0,0,0
2/10/2020,11,0,0,,1,0,0,0,1
2/11/2020,11,0,0,,1,0,0,0,0
2/12/2020,11,0,0,,1,0,0,1,0
2/13/2020,11,0,0,,1,0,0,0,0
2/14/2020,11,0,0,,1,0,0,0,0
2/15/2020,11,0,0,,1,0,0,0,0
2/16/2020,11,0,0,,1,0,0,0,0
2/17/2020,11,0,0,,1,0,0,0,0
2/18/2020,11,0,0,,1,0,0,0,0
2/19/2020,11,0,0,,1,0,0,0,0
2/20/2020,11,0,0,,1,0,0,0,1
2/21/2020,11,0,0,,1,0,0,0,0
2/22/2020,11,0,0,,1,0,0,0,0
2/23/2020,11,0,0,,1,0,0,0,0
2/24/2020,11,0,0,,1,0,0,0,2
2/25/2020,11,0,0,,1,0,0,0,0
2/26/2020,11,0,0,,1,0,0,0,0
2/27/2020,11,0,0,,1,0,0,0,0
2/28/2020,12,1,0,,1,0,0,0,2
2/29/2020,13,1,0,,1,0,0,1,0
3/1/2020,15,2,1,,1,0,0,2,2
3/2/2020,18,3,0,,1,0,0,3,3
3/3/2020,32,14,1,,2,1,0,14,1
3/4/2020,51,19,2,,2,0,0,19,3
3/5/2020,83,32,8,,2,0,0,33,3
3/6/2020,122,39,14,,2,0,0,43,7
3/7/2020,206,84,44,,2,0,0,86,14
3/8/2020,260,54,19,,2,0,0,53,7
3/9/2020,333,73,5,,2,0,0,76,5
3/10/2020,438,105,14,,2,0,0,104,6
3/11/2020,612,174,22,,2,0,0,176,6
3/12/2020,1030,418,29,,2,0,0,426,7
3/13/2020,1970,940,61,,2,0,0,973,14
3/14/2020,2870,900,73,,2,0,0,920,15
3/15/2020,3900,1030,68,,2,0,0,1058,26
3/16/2020,6045,2145,150,,2,0,0,2218,18
3/17/2020,8727,2682,249,,2,0,0,2763,28
3/18/2020,11715,2988,259,,2,0,0,3075,156
3/19/2020,14620,2905,278,,2,0,0,3000,142
3/20/2020,18269,3649,388,,2,0,0,3753,123
3/21/2020,20803,2534,321,,2,0,0,2603,168
3/22/2020,22700,1897,286,,2,0,0,1944,158
3/23/2020,26490,3790,609,,2,0,0,3895,202
3/24/2020,30491,4001,719,,2,0,0,4116,207
3/25/2020,34595,4104,746,,2,0,0,4216,269
3/26/2020,39020,4425,936,,2,0,0,4540,299
3/27/2020,43395,4375,943,,2,0,0,4475,342
3/28/2020,46199,2804,655,,2,0,0,2871,332
3/29/2020,48270,2071,523,,2,0,0,2155,318
3/30/2020,53331,5061,1238,,2,0,0,5174,416
3/31/2020,58572,5241,1265,,2,0,0,5460,471
4/1/2020,63503,4931,1337,,2,0,0,5114,462
4/2/2020,68724,5221,1277,,5,3,1,5410,597
4/3/2020,74481,5757,1480,,5,0,0,5961,626
4/4/2020,78474,3993,1163,,9,4,1,4065,690
4/5/2020,81899,3425,976,,9,0,0,3575,538
4/6/2020,88573,6674,1932,,13,4,0,6842,775
4/7/2020,95153,6580,2024,,17,4,0,6688,950
4/8/2020,101964,6811,1866,,19,2,0,7009,961
4/9/2020,108412,6448,1980,,41,22,2,6776,1024
4/10/2020,116015,7603,2053,,41,0,0,7814,1039
4/11/2020,120393,4378,1297,,42,1,0,4511,796
4/12/2020,123479,3086,930,,45,3,2,3153,699
4/13/2020,129821,6342,2003,,53,8,0,6436,1100
4/14/2020,139596,9775,2875,,62,9,2,9886,1465
4/15/2020,149546,9950,2598,,72,10,2,10230,1441
4/16/2020,158475,8929,2389,,93,21,0,9001,1698
4/17/2020,169596,11121,3008,,173,80,5,11467,1744
4/18/2020,175655,6059,1483,,181,8,3,6374,1107
4/19/2020,180257,4602,1091,,191,10,1,4672,923
4/20/2020,191074,10817,2696,,255,64,6,11090,1881
4/21/2020,200554,9480,2196,,331,76,11,9724,2099
4/22/2020,213057,12503,2716,,479,148,17,12774,2620
4/23/2020,223881,10824,2416,,954,475,31,10906,2522
4/24/2020,236263,12382,2282,,1855,901,82,12398,2493
4/25/2020,244539,8276,1498,,2342,487,25,8445,1820
4/26/2020,249437,4898,848,,2797,455,36,4809,1398
4/27/2020,260434,10997,2126,,3941,1144,79,10881,2909
4/28/2020,272726,12292,2108,,5366,1425,83,12298,2979
4/29/2020,285391,12665,2187,,7075,1709,105,12611,2904
4/30/2020,299183,13792,2049,,8453,1378,116,13775,3104
5/1/2020,313337,14154,2086,,10229,1776,129,14049,3251
5/2/2020,320632,7295,1037,,10824,595,57,7350,1850
5/3/2020,325745,5113,735,,11228,404,42,5059,1404
5/4/2020,337903,12158,1887,,13213,1985,161,11989,3457
5/5/2020,350594,12691,1740,,15156,1943,157,12501,3517
5/6/2020,363966,13372,1710,,17088,1932,184,13129,3558
5/7/2020,377503,13537,1691,,19137,2049,173,13496,3594
5/8/2020,390865,13362,1461,,20995,1858,136,13274,3658
5/9/2020,396707,5842,684,,21617,622,37,5727,1958
5/10/2020,399882,3175,386,,21969,352,77,3098,1462
5/11/2020,411777,11895,1317,,23784,1815,162,11665,3982
